,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,Biomass,3.0,3.0,26276.07,,26276.07,0.0,1.0,79855161.58,1238808.37,252.09,1362887.13,51.87
Generator,Fixed Bottom Offshore Wind,5381.86,5221.0,25833193.44,,25833193.44,0.0,0.55,2579.73,304193163.7,255661.17,918216588.86,35.54
Generator,Floating Offshore Wind,15203.96,,73818380.99,,73818380.99,0.0,0.55,38573.14,4204727852.44,676683.61,4205403555.0,56.97
Generator,Geothermal,2182.0,2182.0,15483841.43,,15483841.43,0.0,0.81,7892880.55,862836622.43,47124275.03,762908782.53,49.27
Generator,Hydrogen Combustion Turbine,127317.74,,56111672.23,,56111672.23,0.0,0.05,1059191707.61,12217616846.32,11294706959.11,23512312902.72,419.03
Generator,Nuclear,414160.32,13916.8,2608431245.61,,2608431245.61,0.0,0.72,903096520.28,138253913797.26,30107827459.19,171125816978.19,65.6
Generator,Onshore Wind,219789.27,8266.7,611854367.32,,611854367.32,0.0,0.32,399888942.84,21810321683.32,-7663362443.38,14630656647.15,23.91
Generator,Reservoir & Dam,104965.94,104965.94,283443821.48,,283443821.48,0.0,0.31,3061134.36,19212311500.64,2790480.63,12908846733.98,45.54
Generator,Solar,893527.1,88806.8,1296032437.22,,1296032437.22,0.0,0.17,164707021.44,34421546437.7,12778133.18,38363851057.1,29.6
Generator,Waste,224.3,224.3,1666538.59,,1666538.59,0.0,0.85,14335295.06,,3397147.06,86141249.5,51.69
Link,Ac,1354838.42,1354838.42,1542728156.09,1572633634.2,-29905478.1,1572280383.93,0.13,0.0,10881462872.08,15669043.34,5772522447.62,3.74
Link,Dc,20160.0,20160.0,25298470.59,26233799.25,-935328.65,26233799.25,0.15,0.0,790521708.43,256147.76,572262791.77,22.62
Load,Ac,0.0,0.0,,4893639097.09,-4893639097.09,0.0,,0.0,0.0,0.0,-292256007381.86,
StorageUnit,4Hr_Battery_Storage,84040.69,,83833288.39,100297510.84,-16464222.45,0.0,0.25,752660651.52,6509044040.47,934554.09,6509956217.15,77.65
StorageUnit,8Hr_Battery_Storage,86490.56,,142878079.25,169090558.28,-26212479.03,0.0,0.41,783869767.71,11014459754.94,1496805.78,11015936185.5,77.1
StorageUnit,Battery Storage,35511.0,35511.0,28783497.22,34328471.95,-5544974.73,0.0,0.2,316621334.73,798322791.0,319434.52,1869821876.75,64.96
