Region,Carrier,2050
ERCOT,4Hr_Battery_Storage,12347.419000000002
ERCOT,8Hr_Battery_Storage,3426.749
ERCOT,Battery Storage,10332.2
ERCOT,Biomass,0.0
ERCOT,Fixed Bottom Offshore Wind,0.002
ERCOT,Floating Offshore Wind,0.0
ERCOT,Hydrogen Combustion Turbine,17386.017
ERCOT,Nuclear,35820.31
ERCOT,Onshore Wind,53713.882999999994
ERCOT,Reservoir & Dam,555.1
ERCOT,Solar,101898.653
MISO,4Hr_Battery_Storage,32332.54
MISO,8Hr_Battery_Storage,11494.728
MISO,Battery Storage,628.4
MISO,Biomass,0.0
MISO,Fixed Bottom Offshore Wind,0.004
MISO,Floating Offshore Wind,0.001
MISO,Hydrogen Combustion Turbine,20096.753
MISO,Nuclear,62706.513000000006
MISO,Onshore Wind,33300.519
MISO,Reservoir & Dam,5852.283
MISO,Solar,208953.587
MISO,Waste,0.0
NPCC_NE,4Hr_Battery_Storage,1536.778
NPCC_NE,8Hr_Battery_Storage,1925.379
NPCC_NE,Battery Storage,592.6999999999999
NPCC_NE,Biomass,0.0
NPCC_NE,Fixed Bottom Offshore Wind,2621.32
NPCC_NE,Floating Offshore Wind,0.002
NPCC_NE,Hydrogen Combustion Turbine,5232.166
NPCC_NE,Nuclear,12283.012
NPCC_NE,Onshore Wind,0.018000000000000002
NPCC_NE,Reservoir & Dam,3907.547
NPCC_NE,Solar,15564.288
NPCC_NE,Waste,0.0
NPCC_NY,4Hr_Battery_Storage,329.967
NPCC_NY,8Hr_Battery_Storage,933.3080000000001
NPCC_NY,Battery Storage,259.5
NPCC_NY,Biomass,3.0
NPCC_NY,Fixed Bottom Offshore Wind,0.001
NPCC_NY,Floating Offshore Wind,0.0
NPCC_NY,Hydrogen Combustion Turbine,7719.01
NPCC_NY,Nuclear,14815.511
NPCC_NY,Onshore Wind,1245.184
NPCC_NY,Reservoir & Dam,6425.571
NPCC_NY,Solar,10352.94
NPCC_NY,Waste,0.0
PJM,4Hr_Battery_Storage,16752.546
PJM,8Hr_Battery_Storage,539.4110000000001
PJM,Battery Storage,400.4
PJM,Biomass,0.0
PJM,Fixed Bottom Offshore Wind,2652.005
PJM,Floating Offshore Wind,0.001
PJM,Hydrogen Combustion Turbine,33636.524
PJM,Nuclear,115560.552
PJM,Onshore Wind,25409.38
PJM,Reservoir & Dam,10992.449
PJM,Solar,113236.84
PJM,Waste,0.0
SERC,4Hr_Battery_Storage,39835.294
SERC,8Hr_Battery_Storage,3745.109
SERC,Battery Storage,1369.0
SERC,Biomass,0.0
SERC,Fixed Bottom Offshore Wind,0.008
SERC,Floating Offshore Wind,0.0
SERC,Hydrogen Combustion Turbine,19550.239999999998
SERC,Nuclear,105259.618
SERC,Onshore Wind,0.053
SERC,Reservoir & Dam,19944.974000000002
SERC,Solar,206515.002
SERC,Waste,224.3
SPP,4Hr_Battery_Storage,8137.206999999999
SPP,8Hr_Battery_Storage,12139.139
SPP,Battery Storage,228.8
SPP,Biomass,0.0
SPP,Hydrogen Combustion Turbine,4878.69
SPP,Nuclear,9589.47
SPP,Onshore Wind,55436.299
SPP,Reservoir & Dam,4628.577
SPP,Solar,85846.09300000001
WECC_CA,4Hr_Battery_Storage,0.036000000000000004
WECC_CA,8Hr_Battery_Storage,18268.943
WECC_CA,Battery Storage,13860.9
WECC_CA,Biomass,0.0
WECC_CA,Fixed Bottom Offshore Wind,0.008
WECC_CA,Floating Offshore Wind,6224.398
WECC_CA,Geothermal,1106.9
WECC_CA,Hydrogen Combustion Turbine,5141.771
WECC_CA,Nuclear,19345.677
WECC_CA,Onshore Wind,0.004
WECC_CA,Reservoir & Dam,12911.837000000001
WECC_CA,Solar,101303.40299999999
WECC_NWPP,4Hr_Battery_Storage,0.377
WECC_NWPP,8Hr_Battery_Storage,13281.026
WECC_NWPP,Battery Storage,3446.3
WECC_NWPP,Biomass,0.0
WECC_NWPP,Fixed Bottom Offshore Wind,100.844
WECC_NWPP,Floating Offshore Wind,6259.368
WECC_NWPP,Geothermal,1055.8999999999999
WECC_NWPP,Hydrogen Combustion Turbine,9832.925
WECC_NWPP,Nuclear,20639.018
WECC_NWPP,Onshore Wind,38207.209
WECC_NWPP,Reservoir & Dam,37832.89
WECC_NWPP,Solar,58346.487
WECC_NWPP,Waste,0.0
WECC_SRSG,4Hr_Battery_Storage,0.077
WECC_SRSG,8Hr_Battery_Storage,4910.022
WECC_SRSG,Battery Storage,4392.8
WECC_SRSG,Biomass,0.0
WECC_SRSG,Geothermal,19.2
WECC_SRSG,Hydrogen Combustion Turbine,6671.057
WECC_SRSG,Nuclear,11363.002
WECC_SRSG,Onshore Wind,10018.857
WECC_SRSG,Reservoir & Dam,1914.711
WECC_SRSG,Solar,29577.906
