Link,bus0,bus1,p_nom,carrier,underwater_fraction,efficiency,length,capital_cost,p_nom_min,p_min_pu,p_nom_max,marginal_cost,p_nom_opt,type,build_year,lifetime,p_nom_mod,p_nom_extendable,p_set,p_max_pu,marginal_cost_quadratic,stand_by_cost,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
1_fwd,p38,p23,190.0,DC,0.0,0.9684788871398095,695.2073469553062,21689.73103315074,0.0,0.0,20190.0,0.009697594632173982,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
2_fwd,p39,p24,95.0,DC,0.0,0.9759052581596729,218.96917940530068,11969.820562078348,0.0,0.0,20095.0,0.010269276140516094,95.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
3_fwd,p39,p33,190.0,DC,0.0,0.9788734316542199,350.74504288333486,8117.815295330879,0.0,0.0,20190.0,0.009547684423306151,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
4_fwd,p52,p34,200.0,DC,0.0,0.9743394140903721,457.4562175377358,14038.342071645795,0.0,0.0,20200.0,0.00941223025742714,200.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
5_fwd,p48,p31,190.0,DC,0.0,0.9655670697486045,428.02072787647614,25463.184297775675,0.0,0.0,20190.0,0.009672679057993589,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
6_fwd,p47,p59,190.0,DC,0.0,0.9675833156435363,440.3102990733439,22833.42812798839,0.0,0.0,20190.0,0.009654199785231002,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
7_fwd,p50,p63,190.0,DC,0.0,0.9773949435654936,378.3022634125078,10046.315152126412,0.0,0.0,20190.0,0.010764552202393233,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
8_fwd,p85,p57,550.0,DC,0.0,0.9751361468068228,404.23192547047836,12989.776515084974,0.0,0.0,20550.0,0.010644607629447451,550.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
9_fwd,p25,p10,2300.0,DC,0.0,0.9540283285798011,1051.096692239575,40557.78121681604,0.0,0.0,22300.0,0.010419246457118196,2300.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
10_fwd,p5,p10,3000.0,DC,0.0,0.9321070147514833,1590.1568445674975,69172.1569515525,0.0,0.0,23000.0,0.010918690450517793,3000.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
11_fwd,p37,p43,950.0,DC,0.0,0.9575381224977031,571.9003245603501,35931.089948722154,0.0,0.0,20950.0,0.009845086706216116,950.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
12_fwd,p126,p128,630.0,DC,0.0,0.9771486761598658,146.32718109442527,10344.537346103676,0.0,0.0,20630.0,0.009490066077111352,630.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
13_fwd,p126,p127,630.0,DC,0.0,0.9797412381131315,304.8459795277534,6979.884810666337,0.0,0.0,20630.0,0.00923479687438298,630.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
14_fwd,p36,p43,475.0,DC,0.0,0.9543689844026425,819.7549680083362,40081.741258819726,0.0,0.0,20475.0,0.0096021067164024,475.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
16_fwd,p132,p128,300.0,DC,0.0,0.9786073121977662,112.93427880452433,8441.261560919633,0.0,0.0,20300.0,0.009290527467940908,300.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
1_rev,p23,p38,190.0,DC,0.0,0.9684788871398095,695.2073469553062,21690.77137094098,0.0,0.0,20190.0,0.00918437219473674,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
2_rev,p24,p39,95.0,DC,0.0,0.9759052581596729,218.96917940530068,11971.218141478124,0.0,0.0,20095.0,0.010205864393413847,95.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
3_rev,p33,p39,190.0,DC,0.0,0.9788734316542199,350.74504288333486,8120.605239324089,0.0,0.0,20190.0,0.009728374899512894,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
4_rev,p34,p52,200.0,DC,0.0,0.9743394140903721,457.4562175377358,14036.390516954845,0.0,0.0,20200.0,0.010129140685192287,200.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
5_rev,p31,p48,190.0,DC,0.0,0.9655670697486045,428.02072787647614,25460.05313563768,0.0,0.0,20190.0,0.009382671441441113,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
6_rev,p59,p47,190.0,DC,0.0,0.9675833156435363,440.3102990733439,22838.6521101878,0.0,0.0,20190.0,0.01035381171930552,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
7_rev,p63,p50,190.0,DC,0.0,0.9773949435654936,378.3022634125078,10044.342875868711,0.0,0.0,20190.0,0.00943101089455132,190.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
8_rev,p57,p85,550.0,DC,0.0,0.9751361468068228,404.23192547047836,12991.821141029193,0.0,0.0,20550.0,0.009556047187488072,550.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
9_rev,p10,p25,2300.0,DC,0.0,0.9540283285798011,1051.096692239575,40557.81292892173,0.0,0.0,22300.0,0.010483520844289754,2300.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
10_rev,p10,p5,3000.0,DC,0.0,0.9321070147514833,1590.1568445674975,69172.73875975834,0.0,0.0,23000.0,0.010119475791289424,3000.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
11_rev,p43,p37,950.0,DC,0.0,0.9575381224977031,571.9003245603501,35930.33950063293,0.0,0.0,20950.0,0.009669672825734039,950.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
12_rev,p128,p126,630.0,DC,0.0,0.9771486761598658,146.32718109442527,10343.788592270526,0.0,0.0,20630.0,0.010085977565090387,630.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
13_rev,p127,p126,630.0,DC,0.0,0.9797412381131315,304.8459795277534,6982.43248465941,0.0,0.0,20630.0,0.010387969405716485,630.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
14_rev,p43,p36,475.0,DC,0.0,0.9543689844026425,819.7549680083362,40088.79021153508,0.0,0.0,20475.0,0.010824264242955258,475.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
16_rev,p128,p132,300.0,DC,0.0,0.9786073121977662,112.93427880452433,8441.186602892674,0.0,0.0,20300.0,0.010161426426788907,300.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p1||p2_fwd,p1,p2,8287.031,AC,,0.986754,213.167878,4919.427887853741,8287.031,0.0,inf,0.009465372757785763,8287.031,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p1||p4_fwd,p1,p4,9136.039,AC,,0.983584,264.182688,5811.787096379032,9136.039,0.0,inf,0.010493395261552994,9136.039,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p2||p3_fwd,p2,p3,796.505,AC,,0.982847,276.043229,5059.291587749099,796.505,0.0,inf,0.010555538035109415,796.505,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p2||p4_fwd,p2,p4,6951.939,AC,,0.992743,116.78690099999999,2316.665101572102,6951.939,0.0,inf,0.009400802629925308,6951.939,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p2||p5_fwd,p2,p5,23673.977,AC,,0.984874,243.42271799999997,5963.774712639355,23673.977,0.0,inf,0.010641148439355772,23673.977,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p2||p14_fwd,p2,p14,2753.315,AC,,0.982131,287.565817,5458.0040691222775,2753.315,0.0,inf,0.009929869709445652,2753.315,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p3||p4_fwd,p3,p4,4073.454,AC,,0.990173,158.14591099999998,2775.780415810731,4073.454,0.0,inf,0.01055953332417789,4073.454,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p3||p5_fwd,p3,p5,352.0,AC,,0.966526,538.697082,10629.228925199468,352.0,0.0,inf,0.009474956439976532,352.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p3||p14_fwd,p3,p14,477.317,AC,,0.989998,160.962186,3339.1355000484928,477.317,0.0,inf,0.009665160539435353,477.317,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p3||p17_fwd,p3,p17,1905.3,AC,,0.980671,311.061597,7239.215500200787,1905.3,0.0,inf,0.010907394238583307,1905.3,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p5||p6_fwd,p5,p6,8904.33,AC,,0.972465,443.12075500000003,8918.927256407287,8904.33,0.0,inf,0.01031563014629961,8904.33,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p5||p7_fwd,p5,p7,4138.304,AC,,0.967996,515.040372,11790.24020747953,4138.304,0.0,inf,0.010545755661003084,4138.304,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p5||p14_fwd,p5,p14,573.7,AC,,0.970077,481.550839,10003.53071270985,573.7,0.0,inf,0.010376748686441258,573.7,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p5||p15_fwd,p5,p15,3800.762,AC,,0.958408,669.340056,12984.387966937082,3800.762,0.0,inf,0.009408608235696865,3800.762,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p6||p7_fwd,p6,p7,3117.7,AC,,0.96472,567.76104,11288.35255733736,3117.7,0.0,inf,0.009941377496893085,3117.7,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p6||p8_fwd,p6,p8,488.117,AC,,0.990758,148.731506,3248.254699304339,488.117,0.0,inf,0.010617927745423571,488.117,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p6||p9_fwd,p6,p9,4800.0,AC,,0.957983,676.179581,21752.60042121294,4800.0,0.0,inf,0.010350070253818743,4800.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p7||p8_fwd,p7,p8,24.111,AC,,0.963109,593.686863,11687.216893617775,24.111,0.0,inf,0.009012055771306596,24.111,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p7||p15_fwd,p7,p15,3938.4,AC,,0.995108,78.726956,1372.6692398862167,3938.4,0.0,inf,0.009174815485305646,3938.4,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p8||p9_fwd,p8,p9,300.953,AC,,0.967106,529.3631419999999,18804.124750960556,300.953,0.0,inf,0.009693589440427119,300.953,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
