,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p1 biomass,p1,Biomass,0.0,0.0,,,,0.0,,294991.488,0.0,,,
Generator,p1 hydro,p1,Reservoir & Dam,4577.9,4577.9,16681230.649,,16681230.649,0.0,0.416,77.279,876221789.496,171304.164,701005697.932,42.024
Generator,p1 hydrogen_ct_2050,p1,Hydrogen Combustion Turbine,1038.48,,451608.56,,451608.56,0.0,0.05,8645474.392,99654207.044,90904715.814,190558844.245,421.956
Generator,p1 nuclear_2050,p1,Nuclear,7589.335,,44263349.574,,44263349.574,0.0,0.666,19890213.476,2597853308.965,503233863.78,3101087142.675,70.06
Generator,p1 onwind,p1,Onshore Wind,0.002,,1.556,,1.556,0.0,0.072,0.603,263.415,-20.09,131.371,83.333
Generator,p1 onwind existing,p1,Onshore Wind,0.0,0.0,,,,0.0,,519634.464,0.0,,,
Generator,p1 solar,p1,Solar,1120.138,,1723024.924,,1723024.924,0.0,0.176,72.328,47057797.073,15561.484,47073310.525,27.32
Generator,p1 solar existing,p1,Solar,11.0,11.0,16866.912,,16866.912,0.0,0.175,54.278,102494.92,158.755,462239.183,27.405
Generator,p10 biomass,p10,Biomass,0.0,0.0,,,,0.0,,2552775.809,0.0,,,
Generator,p10 geothermal,p10,Geothermal,1106.9,1106.9,8040136.433,,8040136.433,0.0,0.829,292100.626,447768184.622,24820396.286,401390902.403,49.923
Generator,p10 hydro,p10,Reservoir & Dam,2622.61,2622.61,5634813.258,,5634813.258,0.0,0.245,101.213,487185683.104,60656.241,324024716.014,57.504
Generator,p10 hydrogen_ct_2050,p10,Hydrogen Combustion Turbine,3999.515,,1560186.261,,1560186.261,0.0,0.045,33475567.534,383799980.851,314051038.854,697850954.518,447.287
Generator,p10 nuclear_2050,p10,Nuclear,16524.512,,99078079.651,,99078079.651,0.0,0.684,40605611.649,5656392605.523,1126321829.221,6782714428.056,68.458
Generator,p10 offwind,p10,Fixed Bottom Offshore Wind,0.001,,3.096,,3.096,0.0,0.28,1.15,278.621,0.033,174.53,56.914
Generator,p10 onwind,p10,Onshore Wind,0.002,,1.082,,1.082,0.0,0.079,0.411,161.89,-13.974,58.798,55.917
Generator,p10 onwind existing,p10,Onshore Wind,0.0,0.0,,,,0.0,,4154837.749,0.0,,,
Generator,p10 solar,p10,Solar,36917.509,,70809371.816,,70809371.816,0.0,0.219,83.412,1589552905.316,685307.154,1590238188.484,22.458
Generator,p10 solar existing,p10,Solar,0.0,0.0,,,,0.0,,34792766.822,0.0,,,
Generator,p100 biomass,p100,Biomass,0.0,0.0,,,,0.0,,17520.0,0.0,,,
Generator,p100 hydro,p100,Reservoir & Dam,3.852,3.852,7333.786,,7333.786,0.0,0.217,6.136,690815.011,69.598,327213.942,44.617
Generator,p100 hydrogen_ct_2050,p100,Hydrogen Combustion Turbine,19.644,,8941.959,,8941.959,0.0,0.052,163141.806,1885095.609,1799930.105,3684935.115,412.095
Generator,p100 nuclear_2050,p100,Nuclear,369.815,,2431685.238,,2431685.238,0.0,0.751,694405.149,126588826.386,27647073.033,154235800.837,63.428
Generator,p100 onwind,p100,Onshore Wind,0.001,,0.67,,0.67,0.0,0.074,0.275,111.123,-8.653,26.481,37.75
Generator,p100 solar,p100,Solar,1734.436,,2502530.944,,2502530.944,0.0,0.165,4.64,72297839.842,26631.779,78314979.549,31.294
Generator,p100 solar existing,p100,Solar,218.9,218.9,315835.909,,315835.909,0.0,0.165,4.566,2039648.908,3032.69,9883964.183,31.295
Generator,p101 biomass,p101,Biomass,0.0,0.0,,,,0.0,,3484493.638,0.0,,,
Generator,p101 hydrogen_ct_2050,p101,Hydrogen Combustion Turbine,4555.413,,2219445.696,,2219445.696,0.0,0.056,37685968.036,437144784.031,446753996.571,883898711.702,398.252
Generator,p101 nuclear_2050,p101,Nuclear,19561.893,,155390177.598,,155390177.598,0.0,0.907,9968862.767,6696097765.38,1766779698.786,8462877447.911,54.462
Generator,p101 offwind,p101,Fixed Bottom Offshore Wind,0.001,,2.348,,2.348,0.0,0.231,1.044,259.29,0.022,135.726,57.37
Generator,p101 onwind,p101,Onshore Wind,0.002,,1.659,,1.659,0.0,0.09,0.564,216.479,-21.422,84.743,50.895
Generator,p101 solar,p101,Solar,5840.334,,8506869.201,,8506869.201,0.0,0.166,10.5,238673721.336,84368.085,238758041.895,28.066
Generator,p101 solar existing,p101,Solar,7477.0,7477.0,10890795.421,,10890795.421,0.0,0.166,10.622,69668592.44,105949.741,305666434.004,28.066
Generator,p101 waste,p101,Waste,0.0,0.0,,,,0.0,,2011278.48,0.0,,,
Generator,p102 biomass,p102,Biomass,0.0,0.0,,,,0.0,,1072654.464,0.0,,,
Generator,p102 hydrogen_ct_2050,p102,Hydrogen Combustion Turbine,2227.131,,853717.552,,853717.552,0.0,0.044,18655949.867,213719106.074,171845644.87,385564675.896,451.63
Generator,p102 nuclear,p102,Nuclear,10202.938,,46542317.562,,46542317.562,0.0,0.521,41528016.065,3404935128.427,608790380.729,4013725477.616,86.238
Generator,p102 nuclear existing,p102,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p102 nuclear_2050,p102,Nuclear,0.06,,450.454,,450.454,0.0,0.862,53.644,20413.104,5121.409,25341.76,56.26
Generator,p102 offwind,p102,Fixed Bottom Offshore Wind,0.001,,2.27,,2.27,0.0,0.226,1.046,255.625,0.021,139.189,61.115
Generator,p102 onwind,p102,Onshore Wind,0.002,,1.927,,1.927,0.0,0.106,0.637,212.192,-24.875,79.08,41.045
Generator,p102 solar,p102,Solar,35502.852,,52593188.693,,52593188.693,0.0,0.169,1242.467,1450875655.935,474899.725,1451350535.823,27.596
Generator,p102 solar existing,p102,Solar,2099.3,2099.3,3095766.986,,3095766.986,0.0,0.168,14165.998,19560689.596,32454.538,85818855.171,27.721
Generator,p102 waste,p102,Waste,224.3,224.3,1680585.36,,1680585.36,0.0,0.855,8171.34,,3425233.753,86357019.874,51.385
Generator,p103 biomass,p103,Biomass,0.0,0.0,,,,0.0,,2512923.569,0.0,,,
Generator,p103 hydro,p103,Reservoir & Dam,2312.34,2312.34,3292453.911,,3292453.911,0.0,0.163,426.49,414646990.055,33207.616,100018189.221,30.378
